iter	Passed	Remaining
896	1728	198
897	1730	196
898	1732	194
899	1734	192
900	1735	190
901	1737	188
902	1739	186
903	1741	184
904	1742	182
905	1744	181
906	1746	179
907	1747	177
908	1749	175
909	1751	173
910	1752	171
911	1754	169
912	1756	167
913	1757	165
914	1759	163
915	1761	161
916	1762	159
917	1764	157
918	1766	155
919	1767	153
920	1769	151
921	1770	149
922	1772	147
923	1773	145
924	1775	143
925	1777	142
926	1778	140
927	1781	138
928	1782	136
929	1784	134
930	1785	132
931	1788	130
932	1790	128
933	1792	126
934	1794	124
935	1796	122
936	1798	120
937	1800	118
938	1803	117
939	1805	115
940	1807	113
941	1809	111
942	1811	109
943	1813	107
944	1815	105
945	1816	103
946	1818	101
947	1820	99
948	1822	97
949	1823	95
950	1825	94
951	1827	92
952	1829	90
953	1831	88
954	1832	86
955	1834	84
956	1835	82
957	1837	80
958	1839	78
959	1840	76
960	1842	74
961	1844	72
962	1846	70
963	1847	68
964	1849	67
965	1850	65
966	1852	63
967	1854	61
968	1856	59
969	1858	57
970	1860	55
971	1861	53
972	1863	51
973	1864	49
974	1866	47
975	1868	45
976	1869	44
977	1871	42
978	1873	40
979	1874	38
980	1876	36
981	1878	34
982	1879	32
983	1881	30
984	1882	28
985	1884	26
986	1886	24
987	1888	22
988	1889	21
989	1891	19
990	1892	17
991	1894	15
992	1895	13
993	1897	11
994	1899	9
995	1901	7
996	1903	5
997	1904	3
998	1906	1
999	1907	0
